Reporting Starts,Reporting Ends,Campaign Name,Ad Set Name,Ad Name,Amount Spent (USD),Impressions,Link Clicks,CPM,CTR,Purchases,Purchases Conversion Value
2025-02-06,2025-02-06,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,14.79,869,7,17.02,0.81,1,24.0
2025-02-06,2025-02-06,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,20.5,877,9,23.37,1.07,0,0.0
2025-02-06,2025-02-06,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,6.35,282,3,22.51,1.17,0,0.0
2025-02-06,2025-02-06,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,9.83,405,3,24.28,0.96,0,0.0
2025-02-07,2025-02-07,Artisan Watch - TOF - Interests,Broad Interests - Artisan Watch,Creative A - Artisan Watch,3.08,219,2,14.08,1.07,0,0.0
2025-02-07,2025-02-07,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,9.81,792,10,12.39,1.34,0,0.0
2025-02-07,2025-02-07,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,8.85,577,5,15.33,1.03,0,0.0
2025-02-07,2025-02-07,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,14.34,1048,10,13.68,0.98,0,0.0
2025-02-07,2025-02-07,Designer Sunglasses - BOF - Retargeting,Website Visitors - Designer Sunglasses,DPA - Designer Sungla,6.51,589,19,11.06,3.27,1,59.99
2025-02-07,2025-02-07,Designer Sunglasses - TOF - Interests,Broad Interests - Designer Sunglasses,Creative A - Designer Sungla,15.22,1252,10,12.16,0.84,1,40.0
2025-02-07,2025-02-07,Premium Backpack - BOF - Retargeting,Website Visitors - Premium Backpack,DPA - Premium Backpac,5.45,386,12,14.11,3.33,1,53.99
2025-02-07,2025-02-07,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,12.71,635,7,20.02,1.18,1,36.0
2025-02-07,2025-02-07,Premium Backpack - TOF - Interests,Broad Interests - Premium Backpack,Creative A - Premium Backpac,4.1,284,3,14.44,1.27,0,0.0
2025-02-07,2025-02-07,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,6.46,428,3,15.09,0.85,0,0.0
2025-02-07,2025-02-07,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,11.13,482,6,23.1,1.36,0,0.0
2025-02-08,2025-02-08,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,9.6,449,5,21.39,1.15,0,0.0
2025-02-08,2025-02-08,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,28.78,1268,10,22.7,0.81,0,0.0
2025-02-08,2025-02-08,Handcrafted Wallet - BOF - Retargeting,Website Visitors - Handcrafted Wallet,DPA - Handcrafted Wal,11.35,1025,29,11.07,2.92,1,95.99
2025-02-08,2025-02-08,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,26.49,1381,13,19.18,0.97,1,63.99
2025-02-08,2025-02-08,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,3.46,141,2,24.56,1.48,0,0.0
2025-02-08,2025-02-08,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,11.2,496,6,22.58,1.33,0,0.0
2025-02-09,2025-02-09,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,7.35,311,3,23.62,1.16,0,0.0
2025-02-09,2025-02-09,Casual Jeans - BOF - Retargeting,Website Visitors - Casual Jeans,DPA - Casual Jeans,13.77,1632,51,8.44,3.13,1,71.99
2025-02-09,2025-02-09,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,32.14,1337,14,24.04,1.1,1,47.99
2025-02-09,2025-02-09,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,10.87,501,7,21.7,1.44,0,0.0
2025-02-09,2025-02-09,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,16.49,876,10,18.82,1.23,0,0.0
2025-02-09,2025-02-09,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,23.0,1850,19,12.43,1.05,0,0.0
2025-02-09,2025-02-09,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,14.16,701,7,20.2,1.12,0,0.0
2025-02-09,2025-02-09,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,5.19,282,2,18.39,0.8,0,0.0
2025-02-10,2025-02-10,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,10.64,556,7,19.13,1.39,0,0.0
2025-02-10,2025-02-10,Basic Socks 3-Pack - BOF - Retargeting,Website Visitors - Basic Socks 3-Pack,DPA - Basic Socks 3-P,12.46,1442,42,8.64,2.95,1,23.99
2025-02-10,2025-02-10,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,29.08,1454,18,20.0,1.24,1,15.99
2025-02-10,2025-02-10,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,15.31,1076,41,14.23,3.82,1,143.99
2025-02-10,2025-02-10,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,35.74,2256,19,15.84,0.88,1,95.99
2025-02-10,2025-02-10,Classic T-Shirt - TOF - Interests,Broad Interests - Classic T-Shirt,Creative A - Classic T-Shirt,14.48,1148,10,12.61,0.91,0,0.0
2025-02-10,2025-02-10,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,7.45,492,7,15.14,1.44,0,0.0
2025-02-10,2025-02-10,Handcrafted Wallet - BOF - Retargeting,Website Visitors - Handcrafted Wallet,DPA - Handcrafted Wal,11.89,842,32,14.12,3.86,1,95.99
2025-02-10,2025-02-10,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,27.75,1965,26,14.12,1.34,1,63.99
2025-02-10,2025-02-10,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,24.77,1018,10,24.33,0.98,0,0.0
2025-02-10,2025-02-10,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,16.83,880,9,19.13,1.11,0,0.0
2025-02-10,2025-02-10,Standard Lanyard - TOF - Interests,Broad Interests - Standard Lanyard,Creative A - Standard Lanyar,9.97,554,7,18.0,1.34,0,0.0
2025-02-11,2025-02-11,Basic Phone Case - TOF - Interests,Broad Interests - Basic Phone Case,Creative A - Basic Phone Cas,9.48,527,4,17.98,0.84,0,0.0
2025-02-11,2025-02-11,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,7.0,401,5,17.46,1.33,0,0.0
2025-02-11,2025-02-11,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,13.1,994,11,13.18,1.12,0,0.0
2025-02-11,2025-02-11,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,15.33,840,10,18.25,1.2,0,0.0
2025-02-11,2025-02-11,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,13.9,739,6,18.81,0.87,0,0.0
2025-02-11,2025-02-11,Plain Beanie - TOF - Interests,Broad Interests - Plain Beanie,Creative A - Plain Beanie,7.33,545,5,13.45,1.03,0,0.0
2025-02-11,2025-02-11,Premium Leather Bag - BOF - Retargeting,Website Visitors - Premium Leather Bag,DPA - Premium Leather,17.74,1908,59,9.3,3.12,1,143.99
2025-02-11,2025-02-11,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,41.39,1937,16,21.37,0.83,1,95.99
2025-02-11,2025-02-11,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,6.83,385,5,17.73,1.41,0,0.0
2025-02-12,2025-02-12,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,6.84,475,4,14.39,0.91,0,0.0
2025-02-12,2025-02-12,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,8.61,398,4,21.63,1.19,0,0.0
2025-02-12,2025-02-12,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,21.13,1095,8,19.3,0.8,0,0.0
2025-02-12,2025-02-12,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,6.53,433,4,15.08,0.93,0,0.0
2025-02-12,2025-02-12,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,14.9,665,9,22.41,1.37,0,0.0
2025-02-13,2025-02-13,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,13.66,999,8,13.67,0.82,0,0.0
2025-02-13,2025-02-13,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,6.58,289,2,22.78,0.87,0,0.0
2025-02-13,2025-02-13,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,7.58,711,25,10.66,3.53,1,71.99
2025-02-13,2025-02-13,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,17.68,1295,11,13.65,0.89,1,48.0
2025-02-13,2025-02-13,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,5.78,440,5,13.13,1.3,0,0.0
2025-02-13,2025-02-13,Last Season Dress - BOF - Retargeting,Website Visitors - Last Season Dress,DPA - Last Season Dre,20.83,1737,62,11.99,3.59,1,29.99
2025-02-13,2025-02-13,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,48.61,2671,35,18.2,1.31,1,19.99
2025-02-13,2025-02-13,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,21.25,974,13,21.82,1.35,0,0.0
2025-02-13,2025-02-13,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,13.42,567,5,23.66,1.0,0,0.0
2025-02-13,2025-02-13,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,10.49,560,6,18.73,1.2,0,0.0
2025-02-14,2025-02-14,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,8.25,598,16,13.79,2.69,1,71.99
2025-02-14,2025-02-14,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,19.24,1029,12,18.7,1.17,1,48.0
2025-02-14,2025-02-14,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,13.6,582,4,23.37,0.84,0,0.0
2025-02-14,2025-02-14,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,9.06,638,6,14.2,0.98,0,0.0
2025-02-14,2025-02-14,Polo Shirt - TOF - Interests,Broad Interests - Polo Shirt,Creative A - Polo Shirt,10.7,695,6,15.39,0.88,0,0.0
2025-02-14,2025-02-14,Simple Keychain - TOF - Interests,Broad Interests - Simple Keychain,Creative A - Simple Keychain,12.08,686,7,17.61,1.09,0,0.0
2025-02-15,2025-02-15,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,26.92,1664,21,16.18,1.31,0,0.0
2025-02-15,2025-02-15,Luxury Silk Scarf - BOF - Retargeting,Website Visitors - Luxury Silk Scarf,DPA - Luxury Silk Sca,6.3,500,18,12.61,3.66,1,53.99
2025-02-15,2025-02-15,Luxury Silk Scarf - TOF - Interests,Broad Interests - Luxury Silk Scarf,Creative A - Luxury Silk Sca,14.73,857,7,17.19,0.92,1,36.0
2025-02-15,2025-02-15,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,8.09,351,3,23.06,0.93,0,0.0
2025-02-16,2025-02-16,Baseball Cap - TOF - Interests,Broad Interests - Baseball Cap,Creative A - Baseball Cap,7.85,552,5,14.22,0.97,0,0.0
2025-02-16,2025-02-16,Canvas Tote Bag - TOF - Interests,Broad Interests - Canvas Tote Bag,Creative A - Canvas Tote Bag,7.55,626,8,12.06,1.37,0,0.0
2025-02-16,2025-02-16,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,7.34,517,11,14.2,2.28,1,71.99
2025-02-16,2025-02-16,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,17.15,1018,14,16.85,1.45,1,48.0
2025-02-16,2025-02-16,Casual Jeans - BOF - Retargeting,Website Visitors - Casual Jeans,DPA - Casual Jeans,17.71,1607,51,11.02,3.2,1,71.99
2025-02-16,2025-02-16,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,41.31,1700,23,24.3,1.36,1,47.99
2025-02-16,2025-02-16,Clearance Jacket - BOF - Retargeting,Website Visitors - Clearance Jacket,DPA - Clearance Jacke,14.65,1124,32,13.03,2.92,1,17.99
2025-02-16,2025-02-16,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,34.17,1568,22,21.79,1.42,1,12.0
2025-02-16,2025-02-16,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,9.17,615,8,14.91,1.43,0,0.0
2025-02-16,2025-02-16,Premium Leather Bag - BOF - Retargeting,Website Visitors - Premium Leather Bag,DPA - Premium Leather,14.45,1388,28,10.41,2.03,1,143.99
2025-02-16,2025-02-16,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,33.73,2193,18,15.38,0.82,1,95.99
2025-02-16,2025-02-16,Sample Sale Coat - BOF - Retargeting,Website Visitors - Sample Sale Coat,DPA - Sample Sale Coa,24.95,2175,48,11.47,2.22,1,29.99
2025-02-16,2025-02-16,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,58.24,3593,39,16.21,1.11,1,20.0
2025-02-17,2025-02-17,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,9.78,467,4,20.94,1.03,0,0.0
2025-02-17,2025-02-17,Cotton Hoodie - TOF - Interests,Broad Interests - Cotton Hoodie,Creative A - Cotton Hoodie,7.91,429,5,18.44,1.39,0,0.0
2025-02-17,2025-02-17,Handcrafted Wallet - BOF - Retargeting,Website Visitors - Handcrafted Wallet,DPA - Handcrafted Wal,5.12,389,11,13.17,3.03,1,47.99
2025-02-17,2025-02-17,Handcrafted Wallet - TOF - Interests,Broad Interests - Handcrafted Wallet,Creative A - Handcrafted Wal,11.95,614,8,19.46,1.45,1,32.0
2025-02-17,2025-02-17,Luxury Belt - BOF - Retargeting,Website Visitors - Luxury Belt,DPA - Luxury Belt,4.99,591,17,8.45,2.97,1,47.99
2025-02-17,2025-02-17,Luxury Belt - TOF - Interests,Broad Interests - Luxury Belt,Creative A - Luxury Belt,11.66,788,11,14.8,1.45,1,32.0
2025-02-17,2025-02-17,Luxury Silk Scarf - TOF - Interests,Broad Interests - Luxury Silk Scarf,Creative A - Luxury Silk Sca,8.02,608,8,13.19,1.32,0,0.0
2025-02-17,2025-02-17,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,14.29,582,5,24.55,0.87,0,0.0
2025-02-18,2025-02-18,Cashmere Sweater - BOF - Retargeting,Website Visitors - Cashmere Sweater,DPA - Cashmere Sweate,15.75,1670,58,9.43,3.49,1,143.99
2025-02-18,2025-02-18,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,36.74,2515,24,14.61,0.96,1,95.99
2025-02-18,2025-02-18,Casual Jeans - TOF - Interests,Broad Interests - Casual Jeans,Creative A - Casual Jeans,8.18,409,4,20.0,1.16,0,0.0
2025-02-18,2025-02-18,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,23.57,1014,14,23.24,1.4,0,0.0
2025-02-18,2025-02-18,Last Season Dress - BOF - Retargeting,Website Visitors - Last Season Dress,DPA - Last Season Dre,19.87,1397,48,14.22,3.44,1,29.99
2025-02-18,2025-02-18,Last Season Dress - TOF - Interests,Broad Interests - Last Season Dress,Creative A - Last Season Dre,46.37,2086,26,22.23,1.28,1,19.99
2025-02-18,2025-02-18,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,23.38,1642,20,14.24,1.27,0,0.0
2025-02-18,2025-02-18,Premium Leather Bag - BOF - Retargeting,Website Visitors - Premium Leather Bag,DPA - Premium Leather,7.76,903,26,8.59,2.9,1,71.99
2025-02-18,2025-02-18,Premium Leather Bag - TOF - Interests,Broad Interests - Premium Leather Bag,Creative A - Premium Leather,18.11,1017,10,17.81,1.02,1,48.0
2025-02-18,2025-02-18,Running Shorts - TOF - Interests,Broad Interests - Running Shorts,Creative A - Running Shorts,10.75,542,6,19.83,1.22,0,0.0
2025-02-18,2025-02-18,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,16.19,1063,15,15.23,1.42,0,0.0
2025-02-19,2025-02-19,Basic Socks 3-Pack - TOF - Interests,Broad Interests - Basic Socks 3-Pack,Creative A - Basic Socks 3-P,14.59,631,6,23.12,0.97,0,0.0
2025-02-19,2025-02-19,Clearance Jacket - TOF - Interests,Broad Interests - Clearance Jacket,Creative A - Clearance Jacke,14.46,943,10,15.33,1.11,0,0.0
2025-02-19,2025-02-19,Discontinued Boots - TOF - Interests,Broad Interests - Discontinued Boots,Creative A - Discontinued Bo,20.62,1225,9,16.83,0.8,0,0.0
2025-02-19,2025-02-19,Overstock Pants - TOF - Interests,Broad Interests - Overstock Pants,Creative A - Overstock Pants,11.04,783,9,14.1,1.17,0,0.0
2025-02-19,2025-02-19,Sample Sale Coat - TOF - Interests,Broad Interests - Sample Sale Coat,Creative A - Sample Sale Coa,23.76,1274,15,18.65,1.2,0,0.0
2025-02-19,2025-02-19,Sport Sneakers - TOF - Interests,Broad Interests - Sport Sneakers,Creative A - Sport Sneakers,11.27,711,8,15.85,1.14,0,0.0
2025-02-20,2025-02-20,Artisan Watch - BOF - Retargeting,Website Visitors - Artisan Watch,DPA - Artisan Watch,14.76,1098,31,13.44,2.87,1,131.99
2025-02-20,2025-02-20,Artisan Watch - TOF - Interests,Broad Interests - Artisan Watch,Creative A - Artisan Watch,34.44,2553,34,13.49,1.36,1,87.99
2025-02-20,2025-02-20,Cashmere Sweater - TOF - Interests,Broad Interests - Cashmere Sweater,Creative A - Cashmere Sweate,6.82,351,4,19.43,1.36,0,0.0
